sk_match_id,frame,minute,player_name,pass_recipient_name,pass_recipient_id,pass_recipient_position,sk_player_id,pass_angle,type_primary,type_secondary,location_x,location_y,pass_accurate,team_name,possession_team_name,possession_team_name_src,possession_types,period,receive_frame,receive_x,receive_y,target_area,ball_x_0,ball_y_0,ball_x_1,ball_y_1,player_1,ball_x_2,ball_y_2,player_2,ball_x_3,ball_y_3,player_3,player_0,sk_recipient_id,long_name,dist_0,dist_1,dist_2,dist_3,score_1,score_2,score_3,attack_score,defend_score,SoF,attacker_count,defender_count,team,combined_score
1133199,25421,42,N. Charles,J. Carter,301620,LCB3,57099.0,141,pass,['back_pass' 'short_or_medium_pass'],74,12,True,Chelsea,Chelsea,Chelsea,['attack'],1.0,25435.0,-19.03,-26.71,True,-20.07,-28.13,-18.26,-19.27,57093.0,-20.71,-7.14,57094.0,-34.91,-15.84,22364.0,,57093,Jessica Carter,42.179874347845086,38.42174514516486,31.60701978991376,31.60701978991376,1,1,1,1,0,73.80163797806826,7,10,home,1.651225482111877
1133199,30122,45,M. Bright,N. Charles,401061,LWB,22607.0,-36,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],32,47,True,Chelsea,Chelsea,Chelsea,,2.0,30163.0,26.06,24.72,True,26.93,26.0,23.68,23.29,57099.0,,,,,,,,57099,Niamh Louise Charles,35.772683712576,36.28190320256091,,,0,0,0,1,0,36.15712626022326,2,6,home,0.0
1133199,30621,45,J. Carter,G. Reiten,55732,AMF,57093.0,-9,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],32,16,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,30643.0,21.58,27.8,True,19.86,27.03,39.99,22.18,22364.0,39.89,2.31,146967.0,,,,,22364,Guro  Reiten,41.613825827481904,24.98864742237963,11.837575765333034,11.837575765333034,1,1,1,1,0,191.51458610982075,1,2,home,1.651225482111877
1133199,31179,46,G. Reiten,N. Charles,401061,LWB,22364.0,-19,pass,['forward_pass' 'short_or_medium_pass'],70,24,True,Chelsea,Chelsea,Chelsea,['attack'],2.0,31190.0,36.75,22.96,True,36.44,21.22,46.39,11.35,57099.0,,,,,,,,57099,Niamh Louise Charles,26.020991526073715,12.447272793668498,,,1,0,0,1,0,244.7765475527632,1,3,home,1.0
1133199,59327,93,J. Fleming,A. Lawrence,138921,RCB3,22733.0,104,pass,['lateral_pass' 'short_or_medium_pass'],73,67,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59337.0,19.72,-27.34,True,20.12,-26.07,23.05,-27.86,22726.0,,,,,,,,22726,Ashley Lawrence,40.796437344454475,39.81936840282628,,,0,0,0,2,1,126.94094979404082,6,7,home,0.0
1133199,59644,94,F. Kirby,S. Ingle,136433,DMF,22611.0,158,pass,['back_pass' 'short_or_medium_pass'],83,85,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59650.0,26.48,-29.75,True,28.26,-29.96,25.84,-31.55,57094.0,24.54,-30.71,22726.0,19.73,-25.5,22435.0,,57094,Sophie Ingle,37.91700410106262,40.66740832657031,40.86496910557991,40.86496910557991,0,0,0,2,1,31.51515551944309,8,9,home,0.0
1133199,59661,94,S. Ingle,A. Lawrence,138921,RCB3,57094.0,17,pass,['forward_pass' 'short_or_medium_pass'],73,91,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59666.0,31.7,-33.17,True,30.07,-32.84,24.54,-30.71,22726.0,19.73,-25.5,22435.0,7.48,-29.36,57094.0,,22726,Ashley Lawrence,39.21365195948982,40.86496910557991,40.73797859491803,40.73797859491803,0,0,0,2,1,5.811133310419119,6,7,home,0.0
1133199,59739,94,M. Bright,J. Canković,127975,RCMF3,22607.0,4,pass,['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'],42,80,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59754.0,22.74,-25.39,True,21.25,-24.75,19.72,-24.7,157708.0,42.02,-17.29,22726.0,35.65,3.01,68735.0,,157708,Jelena  Canković,39.08484360976771,40.24994906829075,19.718379750882168,19.718379750882168,0,1,1,2,1,105.36681103638846,3,4,home,0.6512254821118769
1133199,59783,94,J. Canković,A. Lawrence,138921,RCB3,157708.0,23,pass,['forward_pass' 'short_or_medium_pass'],70,83,True,Chelsea,Chelsea,Chelsea,['attack' 'throw_in'],2.0,59788.0,22.57,-27.59,True,22.32,-25.89,42.02,-17.29,22726.0,35.65,3.01,68735.0,34.54,8.72,68742.0,,22726,Ashley Lawrence,39.009800050756475,19.718379750882168,16.13327617069763,16.13327617069763,1,1,1,2,1,135.9068805776536,3,5,home,1.651225482111877
1133199,59927,94,J. Carter,N. Charles,401061,LWB,57093.0,-45,pass,"['forward_pass' 'head_pass' 'pass_to_final_third' 'progressive_pass'
 'recovery' 'counterpressing_recovery' 'short_or_medium_pass']",52,40,True,Chelsea,Chelsea,In Contest,['attack' 'throw_in'],2.0,59939.0,21.11,20.3,True,19.54,21.51,43.2,34.64,,,,,,,,,57099,Niamh Louise Charles,38.52430012342859,35.62049410100876,,,1,0,0,2,1,114.92728087064573,4,8,home,1.0
1133199,60216,95,M. Bright,M. Fishel,547806,SS,22607.0,-6,pass,"['forward_pass' 'long_pass' 'pass_to_final_third' 'progressive_pass'
 'recovery' 'counterpressing_recovery']",53,16,True,Chelsea,Chelsea,In Contest,['attack'],2.0,60240.0,35.22,25.51,True,34.31,27.14,43.52,30.93,769835.0,25.48,34.38,,,,,,769835,Mia Renee Fishel,32.12593500584847,31.942844269100394,43.1164098690974,43.1164098690974,0,0,0,2,1,121.7767056700092,0,1,home,0.0
1133199,61235,96,M. Fishel,J. Canković,127975,RCMF3,769835.0,180,pass,['back_pass' 'short_or_medium_pass'],95,85,True,Chelsea,Chelsea,Chelsea,['attack' 'transition_low'],2.0,61241.0,41.19,-23.75,True,41.27,-25.45,,,,,,,,,,,157708,Jelena  Canković,27.42909768840382,,,,0,0,0,2,1,18.81278105712471,3,5,home,0.0
1133199,32681,49,M. Fishel,N. Charles,401061,LWB,769835.0,-34,pass,['forward_pass' 'short_or_medium_pass'],73,25,True,Chelsea,Chelsea,Chelsea,['attack'],2.0,32689.0,32.27,21.6,True,32.35,19.71,53.29,13.69,,,,,,,,,57099,Niamh Louise Charles,27.481022542838538,13.806527441757396,,,1,0,0,1,0,311.5800418948247,1,3,home,1.0
1133199,33342,50,S. Nüsken,L. James,540393,AMF,63800.0,75,pass,['lateral_pass' 'pass_to_final_third' 'short_or_medium_pass'],64,55,True,Chelsea,Chelsea,Chelsea,['attack'],2.0,33354.0,18.28,-24.63,True,18.31,-22.97,24.5,-25.72,146967.0,46.17,-13.6,769835.0,,,,,146967,Lauren James,40.36331254988866,37.28965540200124,14.607152357663692,14.607152357663692,1,1,1,1,0,132.76623987836598,6,9,home,1.651225482111877
